X,CH1,Start,Increment,
Sequence,Volt,-6.000000e-04,1.000000e-06
0,5.12e+00,
1,4.80e+00,
2,5.12e+00,
3,4.80e+00,
4,5.12e+00,
5,4.80e+00,
6,5.12e+00,
7,4.80e+00,
8,5.12e+00,
9,4.80e+00,
10,4.80e+00,
11,5.12e+00,
12,5.12e+00,
13,4.80e+00,
14,5.12e+00,
15,4.80e+00,
16,5.12e+00,
17,4.80e+00,
18,5.12e+00,
19,4.80e+00,
20,5.12e+00,
21,4.80e+00,
22,5.12e+00,
23,4.80e+00,
24,5.12e+00,
25,4.80e+00,
26,5.12e+00,
27,4.80e+00,
28,5.12e+00,
29,-1.52e+00,
30,1.60e-01,
31,-8.00e-02,
32,1.60e-01,
33,0.00e+00,
34,1.60e-01,
35,0.00e+00,
36,1.60e-01,
37,0.00e+00,
38,1.60e-01,
39,-8.00e-02,
40,-8.00e-02,
41,6.32e+00,
42,5.12e+00,
43,4.80e+00,
44,4.80e+00,
45,5.12e+00,
46,5.12e+00,
47,4.80e+00,
48,5.12e+00,
49,4.80e+00,
50,5.12e+00,
51,4.72e+00,
52,4.80e+00,
53,5.12e+00,
54,5.12e+00,
55,4.80e+00,
56,5.12e+00,
57,4.80e+00,
58,4.80e+00,
59,5.12e+00,
60,5.12e+00,
61,4.80e+00,
62,5.12e+00,
63,4.80e+00,
64,5.12e+00,
65,4.80e+00,
66,5.12e+00,
67,4.80e+00,
68,5.12e+00,
69,4.80e+00,
70,5.12e+00,
71,4.80e+00,
72,5.12e+00,
73,4.80e+00,
74,5.12e+00,
75,4.80e+00,
76,5.12e+00,
77,4.80e+00,
78,4.80e+00,
79,5.12e+00,
80,5.12e+00,
81,4.80e+00,
82,5.12e+00,
83,4.80e+00,
84,5.12e+00,
85,4.80e+00,
86,4.80e+00,
87,5.12e+00,
88,4.80e+00,
89,5.12e+00,
90,5.12e+00,
91,4.80e+00,
92,5.12e+00,
93,-1.52e+00,
94,1.60e-01,
95,0.00e+00,
96,0.00e+00,
97,1.60e-01,
98,1.60e-01,
99,0.00e+00,
100,1.60e-01,
101,8.00e-02,
102,1.60e-01,
103,-8.00e-02,
104,0.00e+00,
105,6.32e+00,
106,4.80e+00,
107,5.12e+00,
108,5.12e+00,
109,4.80e+00,
110,5.12e+00,
111,4.72e+00,
112,5.12e+00,
113,4.80e+00,
114,4.80e+00,
115,5.12e+00,
116,5.12e+00,
117,4.80e+00,
118,4.80e+00,
119,5.12e+00,
120,5.12e+00,
121,4.80e+00,
122,5.12e+00,
123,4.80e+00,
124,5.12e+00,
125,4.80e+00,
126,5.12e+00,
127,4.80e+00,
128,5.12e+00,
129,4.80e+00,
130,5.12e+00,
131,4.80e+00,
132,5.12e+00,
133,4.80e+00,
134,5.12e+00,
135,4.80e+00,
136,5.12e+00,
137,4.80e+00,
138,5.12e+00,
139,4.80e+00,
140,4.80e+00,
141,5.12e+00,
142,5.12e+00,
143,4.80e+00,
144,5.12e+00,
145,4.80e+00,
146,5.12e+00,
147,4.80e+00,
148,5.12e+00,
149,4.80e+00,
150,4.80e+00,
151,5.12e+00,
152,4.80e+00,
153,5.12e+00,
154,4.80e+00,
155,5.12e+00,
156,5.12e+00,
157,-1.52e+00,
158,1.60e-01,
159,0.00e+00,
160,1.60e-01,
161,-8.00e-02,
162,1.60e-01,
163,0.00e+00,
164,1.60e-01,
165,-8.00e-02,
166,1.60e-01,
167,0.00e+00,
168,0.00e+00,
169,6.40e+00,
170,5.12e+00,
171,4.80e+00,
172,4.80e+00,
173,5.12e+00,
174,5.12e+00,
175,4.80e+00,
176,4.80e+00,
177,5.12e+00,
178,5.12e+00,
179,4.72e+00,
180,5.12e+00,
181,4.80e+00,
182,4.80e+00,
183,5.12e+00,
184,5.12e+00,
185,4.80e+00,
186,5.12e+00,
187,4.80e+00,
188,5.12e+00,
189,4.80e+00,
190,5.12e+00,
191,4.80e+00,
192,5.12e+00,
193,4.80e+00,
194,4.80e+00,
195,5.12e+00,
196,5.12e+00,
197,4.80e+00,
198,5.12e+00,
199,4.80e+00,
200,5.12e+00,
201,4.80e+00,
202,5.12e+00,
203,4.80e+00,
204,5.12e+00,
205,4.80e+00,
206,5.12e+00,
207,4.80e+00,
208,5.12e+00,
209,4.80e+00,
210,5.12e+00,
211,4.80e+00,
212,5.12e+00,
213,4.80e+00,
214,5.12e+00,
215,4.80e+00,
216,4.80e+00,
217,5.12e+00,
218,5.12e+00,
219,-1.52e+00,
220,-8.00e-02,
221,1.60e-01,
222,-8.00e-02,
223,1.60e-01,
224,1.60e-01,
225,0.00e+00,
226,1.60e-01,
227,0.00e+00,
228,1.60e-01,
229,0.00e+00,
230,1.60e-01,
231,-8.00e-02,
232,-8.00e-02,
233,6.24e+00,
234,5.12e+00,
235,4.80e+00,
236,5.12e+00,
237,4.80e+00,
238,5.12e+00,
239,4.72e+00,
240,5.12e+00,
241,4.80e+00,
242,5.12e+00,
243,4.80e+00,
244,5.12e+00,
245,4.80e+00,
246,5.12e+00,
247,4.80e+00,
248,5.12e+00,
249,4.80e+00,
250,5.12e+00,
251,4.80e+00,
252,5.12e+00,
253,4.80e+00,
254,5.12e+00,
255,4.80e+00,
256,5.12e+00,
257,4.80e+00,
258,5.12e+00,
259,4.80e+00,
260,5.12e+00,
261,4.80e+00,
262,5.12e+00,
263,4.80e+00,
264,5.12e+00,
265,4.80e+00,
266,5.12e+00,
267,4.80e+00,
268,5.12e+00,
269,4.80e+00,
270,5.12e+00,
271,4.80e+00,
272,5.12e+00,
273,4.80e+00,
274,5.12e+00,
275,4.80e+00,
276,5.12e+00,
277,4.80e+00,
278,5.12e+00,
279,4.80e+00,
280,5.12e+00,
281,4.80e+00,
282,5.12e+00,
283,-3.20e-01,
284,-8.00e-02,
285,1.60e-01,
286,1.60e-01,
287,0.00e+00,
288,1.60e-01,
289,0.00e+00,
290,1.60e-01,
291,0.00e+00,
292,1.60e-01,
293,0.00e+00,
294,1.60e-01,
295,-8.00e-02,
296,-8.00e-02,
297,6.32e+00,
298,4.80e+00,
299,5.12e+00,
300,4.72e+00,
301,5.12e+00,
302,5.12e+00,
303,4.80e+00,
304,4.80e+00,
305,5.12e+00,
306,5.12e+00,
307,4.72e+00,
308,5.12e+00,
309,4.80e+00,
310,4.80e+00,
311,5.12e+00,
312,5.12e+00,
313,4.80e+00,
314,4.80e+00,
315,5.12e+00,
316,4.80e+00,
317,5.12e+00,
318,4.80e+00,
319,5.12e+00,
320,5.12e+00,
321,4.80e+00,
322,5.12e+00,
323,4.80e+00,
324,4.80e+00,
325,5.12e+00,
326,5.12e+00,
327,4.80e+00,
328,5.12e+00,
329,4.80e+00,
330,5.12e+00,
331,4.80e+00,
332,5.12e+00,
333,4.80e+00,
334,5.12e+00,
335,4.80e+00,
336,5.12e+00,
337,4.80e+00,
338,5.12e+00,
339,4.80e+00,
340,5.12e+00,
341,4.80e+00,
342,5.12e+00,
343,4.80e+00,
344,5.12e+00,
345,4.80e+00,
346,5.12e+00,
347,-1.52e+00,
348,1.60e-01,
349,-8.00e-02,
350,1.60e-01,
351,0.00e+00,
352,1.60e-01,
353,0.00e+00,
354,1.60e-01,
355,-8.00e-02,
356,1.60e-01,
357,-8.00e-02,
358,1.60e-01,
359,-8.00e-02,
360,0.00e+00,
361,6.32e+00,
362,5.12e+00,
363,4.80e+00,
364,5.12e+00,
365,4.80e+00,
366,5.12e+00,
367,4.72e+00,
368,4.80e+00,
369,5.12e+00,
370,4.80e+00,
371,5.12e+00,
372,5.12e+00,
373,4.80e+00,
374,5.12e+00,
375,4.80e+00,
376,5.12e+00,
377,4.80e+00,
378,5.12e+00,
379,4.80e+00,
380,5.12e+00,
381,4.80e+00,
382,5.12e+00,
383,4.80e+00,
384,5.12e+00,
385,4.80e+00,
386,5.12e+00,
387,4.80e+00,
388,5.12e+00,
389,4.80e+00,
390,5.12e+00,
391,4.80e+00,
392,5.12e+00,
393,4.80e+00,
394,5.12e+00,
395,4.80e+00,
396,5.12e+00,
397,4.80e+00,
398,5.12e+00,
399,4.80e+00,
400,5.12e+00,
401,4.80e+00,
402,5.12e+00,
403,4.80e+00,
404,5.12e+00,
405,4.80e+00,
406,5.12e+00,
407,4.80e+00,
408,5.12e+00,
409,-1.60e+00,
410,-8.00e-02,
411,1.60e-01,
412,1.60e-01,
413,0.00e+00,
414,1.60e-01,
415,-8.00e-02,
416,-8.00e-02,
417,1.60e-01,
418,-8.00e-02,
419,1.60e-01,
420,1.60e-01,
421,-8.00e-02,
422,1.60e-01,
423,-8.00e-02,
424,0.00e+00,
425,6.32e+00,
426,5.12e+00,
427,4.80e+00,
428,5.12e+00,
429,4.80e+00,
430,5.12e+00,
431,4.80e+00,
432,5.12e+00,
433,4.72e+00,
434,5.12e+00,
435,4.72e+00,
436,5.12e+00,
437,4.72e+00,
438,4.80e+00,
439,5.12e+00,
440,5.12e+00,
441,4.80e+00,
442,4.80e+00,
443,5.12e+00,
444,5.12e+00,
445,4.80e+00,
446,4.80e+00,
447,5.12e+00,
448,4.80e+00,
449,5.12e+00,
450,5.12e+00,
451,4.80e+00,
452,4.80e+00,
453,5.12e+00,
454,5.12e+00,
455,4.80e+00,
456,5.12e+00,
457,4.80e+00,
458,5.12e+00,
459,4.80e+00,
460,4.80e+00,
461,5.12e+00,
462,4.80e+00,
463,5.12e+00,
464,5.12e+00,
465,4.80e+00,
466,5.12e+00,
467,4.80e+00,
468,4.80e+00,
469,5.12e+00,
470,5.12e+00,
471,4.80e+00,
472,5.12e+00,
473,-1.52e+00,
474,-8.00e-02,
475,1.60e-01,
476,1.60e-01,
477,-8.00e-02,
478,1.60e-01,
479,0.00e+00,
480,1.60e-01,
481,-8.00e-02,
482,1.60e-01,
483,-8.00e-02,
484,1.60e-01,
485,0.00e+00,
486,1.60e-01,
487,-8.00e-02,
488,-8.00e-02,
489,6.24e+00,
490,4.80e+00,
491,5.12e+00,
492,5.12e+00,
493,4.72e+00,
494,5.12e+00,
495,4.80e+00,
496,5.12e+00,
497,4.72e+00,
498,4.80e+00,
499,5.12e+00,
500,5.12e+00,
501,4.80e+00,
502,5.12e+00,
503,4.80e+00,
504,4.80e+00,
505,5.12e+00,
506,5.12e+00,
507,4.80e+00,
508,4.80e+00,
509,5.12e+00,
510,4.80e+00,
511,5.12e+00,
512,5.12e+00,
513,4.80e+00,
514,4.80e+00,
515,5.12e+00,
516,5.12e+00,
517,4.80e+00,
518,5.12e+00,
519,4.80e+00,
520,5.12e+00,
521,4.80e+00,
522,5.12e+00,
523,4.80e+00,
524,5.12e+00,
525,4.80e+00,
526,5.12e+00,
527,4.80e+00,
528,5.12e+00,
529,4.80e+00,
530,5.12e+00,
531,4.80e+00,
532,5.12e+00,
533,4.80e+00,
534,4.80e+00,
535,5.12e+00,
536,5.12e+00,
537,-1.60e+00,
538,1.60e-01,
539,-8.00e-02,
540,1.60e-01,
541,-8.00e-02,
542,1.60e-01,
543,-8.00e-02,
544,1.60e-01,
545,-8.00e-02,
546,1.60e-01,
547,0.00e+00,
548,1.60e-01,
549,-8.00e-02,
550,1.60e-01,
551,-8.00e-02,
552,-8.00e-02,
553,6.40e+00,
554,5.12e+00,
